f.eid,Bet_Win50,BetRT_Win50,ColRT_Win50,Bet_Win60,BetRT_Win60,ColRT_Win60,Bet_Win70,BetRT_Win70,ColRT_Win70,Bet_Win80,BetRT_Win80,ColRT_Win80,Bet_Win90,BetRT_Win90,ColRT_Win90,RiskAdjustment_WIN,Bet_Loss50,BetRT_Loss50,ColRT_Loss50,Bet_Loss60,BetRT_Loss60,ColRT_Loss60,Bet_Loss70,BetRT_Loss70,ColRT_Loss70,Bet_Loss80,BetRT_Loss80,ColRT_Loss80,Bet_Loss90,BetRT_Loss90,ColRT_Loss90,RiskAdjustment_LOSS,Average_WIN,Average_LOSS
ST1AAB0001,0.250000004,2.14412117,3.321347594,0.200000003,3.811365396,4.115953892,0.225000003,1.781906664,3.034785211,0.200000007,2.528683305,3.560434341,0.300000004,2.72617358,3.243700147,0.425531929,0.300000004,2.661242425,2.101010859,0.275000004,3.402757406,2.084528267,0.200000003,2.058479398,3.099951863,0.300000004,3.790679812,2.835806251,0.150000002,1.747450173,2.569566011,-1.12244898,0.235000004,0.245000004
ST1AAB0002,0.100000001,4.34089613,4.953511238,0.150000006,6.119913518,3.492969632,0.350000005,2.634901643,2.986200392,0.400000006,1.988586783,3.346456409,0.200000003,1.915657461,3.418536901,1.874999979,0.100000001,3.939683557,10.502069,0.175000003,4.212014198,5.434537292,0.275000006,2.994794369,4.047403991,0.400000006,2.972881794,7.542909145,0.300000004,1.931259692,2.601180196,2.499999996,0.240000004,0.250000004
ST1AAB0003,0.250000007,2.381352305,3.403543115,0.262500005,1.574308634,4.009383321,0.212500004,2.114858627,4.128484666,0.200000007,8.631606579,3.518259645,0.300000004,1.303796113,4.14758563,0.153061204,0.150000002,1.073295176,3.32391727,0.225000003,1.224583194,2.457139552,0.212500004,1.939071178,3.956210434,0.275000006,1.699302912,3.690489769,0.400000006,1.181010067,2.432662964,2.178217824,0.245000006,0.252500004
ST1AAB0005,0.150000002,1.380700588,5.595229149,0.200000003,3.012111425,3.862695336,0.275000004,4.118713707,2.316713214,0.300000004,3.675429702,2.809517145,0.300000012,10.74738193,5.04575181,1.632653112,0.250000004,1.31354481,2.738950014,0.225000003,1.56027779,2.819559515,0.350000005,1.988515407,2.934002638,0.150000002,1.525277793,3.916803122,0.150000002,1.332168162,2.28713268,-1.222222222,0.245000005,0.225000003
ST1AAB0006,0.200000003,2.281109691,7.657440662,0.275000004,2.70974949,4.157259941,0.150000002,2.178641111,7.17194593,0.100000001,3.045228362,5.800524473,0.400000006,2.774569154,10.88752031,1,0.200000003,1.949158788,6.813048363,0.275000004,2.79832083,5.897590995,0.237500006,3.083979636,7.188184261,0.125000004,2.996504903,6.132863164,0.200000007,15.09659362,10.61223388,-0.722891516,0.225000003,0.207500005
ST1AAB0007,0.250000004,3.680568695,8.241061687,0.200000003,6.882090092,10.21956074,0.225000003,2.607422471,10.24443913,0.300000004,3.110143065,10.78908157,0.150000002,3.853558064,13.31046009,-0.444444444,0.150000002,2.058980703,9.9338696,0.175000003,3.695379496,7.830279648,0.250000004,2.232720673,6.363622725,0.400000006,2.477280676,5.549309492,0.150000002,2.218894899,11.4886198,1,0.225000003,0.225000003
ST1AAB0008,0.200000003,1.663657129,4.132117271,0.325000005,1.615927279,3.421558261,0.250000004,1.322232932,2.044021696,0.100000001,1.370974243,2.502056003,0.250000004,1.379941642,2.333230376,-0.555555556,0.300000004,2.765418172,3.772711277,0.150000002,2.019478679,2.861134291,0.350000005,2.895718843,5.221418798,0.250000004,1.865799189,5.838726997,0.150000002,1.58047235,2.549696922,-0.833333333,0.225000003,0.240000004
ST1AAB0009,0.250000004,2.999418259,0.737003565,0.175000004,2.875298738,7.441657931,0.225000007,3.385210454,6.41726587,0.350000009,17.3815155,1.290772647,0.300000004,2.880542159,0.799018681,1.057692307,0.200000007,2.264818966,3.145543039,0.200000003,2.492957413,4.115503669,0.225000003,2.987708509,2.110302925,0.350000009,5.568722606,2.367160738,0.300000004,3.263942599,1.722566031,1.372548997,0.260000006,0.255000005
ST1AAB0010,0.100000001,1.871572733,3.488147378,0.262500003,3.726855278,3.455862164,0.262500005,1.924069345,2.467413664,0.300000004,2.051794708,2.724882603,0.250000007,1.221715122,2.371084929,1.436170244,0.225000009,3.207948923,5.915208817,0.212500006,2.521115899,4.704307675,0.26250001,3.207378179,8.261871815,0.175000001,1.753918648,3.572037697,0.350000009,8.380085111,5.336442351,0.867346893,0.235000004,0.245000007
ST1AAB0011,0.175000004,8.039716482,4.704857111,0.212500002,2.167847544,4.030740917,0.250000007,4.575120211,3.240247965,0.275000006,3.260305405,5.658034086,0.275000006,3.618870974,4.032909155,1.105263162,0.275000006,2.133205295,2.47377646,0.237500008,2.347081304,2.135161817,0.225000005,2.574147284,3.160822272,0.200000003,3.341663241,4.686468601,0.275000006,1.648123622,4.525027394,-0.154639193,0.237500005,0.242500006
ST1AAB0012,0.150000006,2.637591362,4.023127794,0.225000003,3.672125518,4.456379116,0.187500004,3.776510298,3.51285553,0.350000009,3.117668271,2.791786909,0.350000009,2.686128259,3.001151323,2.079207916,0.125000004,2.668976545,4.816425562,0.275000006,5.080212355,2.937972605,0.275000006,4.750030816,2.671930194,0.300000004,2.918779373,2.765942216,0.150000002,5.322767854,5.882751822,0.333333307,0.252500006,0.225000004
ST1AAB0013,0.175000001,3.890000582,5.944955587,0.225000003,2.585273206,5.820261478,0.187500004,3.919062018,6.486872077,0.150000002,4.85708487,4.5906142,0.400000006,2.365867734,6.037831545,1.648351666,0.125000004,3.057885528,4.477593422,0.162500005,3.127140999,4.112002015,0.237500004,3.802741051,5.152869821,0.350000009,3.138094783,4.418700099,0.400000006,2.484136701,5.871751308,2.892156831,0.227500003,0.255000006
ST1AAB0014,0.300000004,1.887003005,3.509528279,0.275000004,2.891402423,2.944512397,0.275000004,2.978944302,1.741705924,0.150000002,2.443153262,1.901548207,0.150000002,2.740564108,4.302917719,-1.847826087,0.200000003,6.699887037,4.322574973,0.225000003,3.754675984,1.93372979,0.250000004,2.204107553,2.541748915,0.250000004,3.469123244,5.497413635,0.300000004,2.707492709,1.617728412,0.918367347,0.230000003,0.245000004
