id,race,nationality
2,1,1
3,NA,NA
8,1,1
9,1,1
10,1,1
19,1,1
23,1,1
33,1,1
34,1,1
41,1,1
42,1,1
61,7,14
66,1,1
90,1,2
99,1,1
100,1,1
106,NA,NA
124,NA,NA
127,1,1
138,1,1
144,1,1
145,1,1
153,1,1
154,1,1
156,1,1
157,1,1
168,1,1
174,1,1
185,1,1
205,1,2
221,1,1
231,1,1
243,1,1
286,NA,NA
287,1,1
296,1,1
325,1,1
336,1,1
344,1,1
352,1,12
361,1,1
364,1,1
370,1,1
372,1,1
378,1,1
391,1,1
392,1,2
397,1,1
408,1,1
414,1,1
417,1,1
419,1,2
426,1,1
451,1,1
454,1,1
455,1,2
456,1,1
460,1,2
467,1,1
470,1,1
475,1,1
477,1,1
482,1,1
489,1,1
491,1,1
494,1,1
505,1,1
513,1,1
517,1,1
519,1,1
520,1,1
527,1,1
536,1,1
550,1,1
555,1,1
558,1,1
562,NA,NA
565,1,1
570,1,1
573,1,1
576,1,1
593,1,1
627,1,2
632,1,1
639,1,1
641,1,1
653,1,1
655,1,1
658,1,1
678,1,1
682,1,1
704,1,1
707,1,1
727,1,1
732,1,1
733,1,1
750,1,1
758,1,1
761,1,1
780,1,1
781,1,1
793,1,1
800,1,1
801,1,1
806,1,1
808,1,1
816,1,1
837,1,1
839,1,1
841,1,1
842,1,1
843,1,1
857,1,1
860,1,1
864,1,1
867,1,1
868,1,1
873,1,1
900,1,1
901,1,1
907,1,1
918,1,1
928,1,1
938,1,1
952,1,1
956,1,1
963,1,1
966,1,12
982,1,1
1000,1,1
1002,1,1
1019,1,1
1023,1,1
1027,1,1
1034,1,1
1042,1,1
1051,1,1
1057,1,1
1061,1,1
1063,1,1
1074,1,1
1078,1,2
1090,1,1
1093,1,1
1107,NA,NA
1113,1,1
1125,1,12
1128,1,1
1144,1,1
1150,1,1
1155,1,1
1157,1,1
1162,1,2
1163,1,1
1166,1,1
1171,1,1
1189,1,1
1190,3,9
1192,1,1
1200,1,1
1203,1,1
1207,1,1
1208,1,1
1224,1,1
1226,1,1
1235,1,1
1246,1,1
1248,1,1
1249,1,1
1257,1,1
1265,1,1
1276,1,2
1299,1,1
1304,1,1
1305,1,1
1317,1,1
1320,1,1
1332,1,1
1339,1,4
1342,1,1
1345,NA,NA
1370,1,1
1386,1,1
1391,1,1
1403,1,1
1406,1,1
1409,1,2
1414,1,1
1415,1,1
1444,1,1
1445,1,1
1454,1,1
1480,1,1
1485,1,1
1486,1,1
1502,1,1
1504,1,1
1505,NA,NA
1515,1,1
1518,1,1
1524,1,1
1530,1,1
1531,1,1
1538,1,1
1540,1,1
1546,1,1
1549,1,1
1552,1,1
1558,1,1
1559,1,1
1560,1,1
1563,1,1
1568,7,14
1571,1,1
1575,1,1
1581,1,1
1592,NA,NA
1593,1,1
1598,1,1
1622,1,1
1625,1,1
1627,1,1
1634,1,12
1639,1,1
1647,1,1
1648,1,1
1662,1,1
1672,1,1
1698,1,1
1699,1,1
1700,1,1
1702,1,1
1719,7,14
1720,1,3
1724,1,1
1726,1,1
1734,1,1
1737,1,2
1738,1,2
1740,1,1
1745,1,1
1760,1,1
1774,NA,NA
1779,5,12
1782,1,1
1786,NA,NA
1788,NA,NA
1792,1,1
1801,1,1
1802,1,1
1807,1,1
1820,1,2
1822,1,1
1829,NA,NA
1833,1,1
1839,1,1
1849,1,1
1870,1,1
1872,1,1
1875,1,1
1879,1,1
1881,1,1
1882,1,1
1890,1,1
1891,1,1
1901,1,1
1907,1,2
1924,1,1
1930,1,1
1931,1,1
1947,1,1
1953,1,1
1965,1,1
1981,1,1
1987,1,1
1988,1,1
1989,1,1
2003,1,1
2007,NA,NA
2011,1,1
2018,1,1
2027,1,1
2029,1,1
2031,NA,NA
2032,1,1
2035,1,2
2038,1,1
2041,1,1
2042,1,1
2045,3,7
2052,1,1
2055,1,1
2058,1,1
2070,1,1
2078,1,1
2080,1,1
2082,1,1
2084,1,1
2086,1,1
2096,1,1
2121,1,1
2136,1,1
2146,1,1
2152,1,1
2157,1,1
2158,1,1
2160,1,2
2165,1,1
2170,1,14
2191,1,1
2196,1,NA
2197,1,1
2199,1,12
2205,1,1
2212,1,1
2224,1,1
2227,1,2
2230,1,1
2238,1,1
2244,1,1
2256,1,1
2261,1,1
2264,1,2
2266,1,1
2267,1,1
2271,1,1
2280,1,1
2283,1,1
2295,1,1
2308,1,1
2309,1,1
2330,1,1
2335,1,1
2354,1,1
2364,NA,NA
2378,1,1
2387,1,2
2394,1,1
2404,1,1
2422,1,1
2424,1,1
2431,1,1
2436,1,1
2438,1,1
2450,1,1
2458,1,1
2478,1,1
2482,1,1
2484,1,1
2508,1,1
2520,1,1
2525,1,1
2528,1,1
2532,1,12
2536,1,1
2544,1,1
2557,1,1
2562,NA,NA
2564,1,1
2567,1,1
2580,1,2
2583,1,1
2586,1,1
2595,1,1
2596,1,1
2597,1,1
2600,1,1
2604,1,2
2618,1,1
2619,NA,NA
2621,1,1
2622,1,1
2629,1,1
2644,1,1
2646,1,1
2648,1,2
2677,1,1
2684,1,1
2686,1,1
2687,1,1
2706,1,1
2720,1,1
2721,1,1
2722,1,1
2736,1,1
2740,7,14
2745,1,1
2747,1,1
2760,1,1
2761,1,1
2765,1,1
2775,1,1
2778,1,1
2785,1,2
2787,1,1
2795,1,1
2798,1,1
2801,1,1
2806,1,1
2811,1,1
2819,1,1
2826,1,1
2827,1,1
2831,1,1
2833,1,1
2835,1,1
2842,1,1
2843,1,1
2862,1,1
2867,1,1
2870,1,1
2873,1,1
2874,1,1
2892,NA,NA
2896,1,1
2900,1,2
2911,1,1
2920,1,1
2927,1,1
2930,1,1
2947,1,1
2962,1,1
2977,1,1
2988,1,1
2992,1,1
2997,1,1
3013,1,1
3015,1,1
3022,1,1
3023,NA,NA
3029,1,1
3035,1,1
3043,1,1
3049,1,1
3057,NA,NA
3061,1,1
3063,1,1
3064,NA,NA
3065,1,1
3074,1,1
3075,1,1
3082,1,1
3083,1,1
3088,1,2
3100,1,1
3102,1,1
3111,1,1
3117,1,1
3119,1,1
3120,1,1
3122,1,4
3132,1,1
3136,1,1
3140,1,1
3149,1,1
3163,1,1
3169,1,1
3170,1,1
3174,1,1
3186,1,1
3194,1,1
3198,1,1
3209,1,1
3226,1,1
3241,1,1
3243,7,14
3244,1,1
3249,1,1
3253,1,2
3255,1,1
3257,1,1
3260,1,1
3273,1,1
3295,1,1
3296,NA,NA
3300,1,1
3308,1,1
3327,1,2
3337,1,1
3339,1,1
3346,1,2
3352,NA,NA
3358,1,1
3363,1,1
3367,1,1
3373,1,1
3379,1,2
3395,1,1
3399,1,1
3401,1,1
3402,1,1
3408,1,1
3409,1,1
3415,NA,NA
3416,1,1
3434,1,1
3449,1,1
3450,1,1
3455,1,1
3463,1,1
3466,1,1
3469,1,1
3480,1,1
3488,1,1
3490,1,1
3492,1,1
3498,1,1
3500,1,1
3508,1,1
3515,1,1
3516,1,1
3526,1,1
3529,1,5
3535,1,1
3540,1,1
3546,1,1
3573,1,1
3579,1,1
3580,1,1
3589,1,1
3598,1,1
3603,1,1
3611,NA,NA
3612,1,1
3615,NA,NA
3629,1,1
3631,1,2
3655,1,1
3658,1,1
3667,1,1
3676,1,1
3677,1,1
3684,1,1
3686,1,1
3687,1,1
3701,1,1
3705,1,1
3711,1,1
3726,1,1
3743,1,1
3747,1,1
3749,1,4
3755,NA,NA
3756,1,1
3758,1,1
3761,1,1
3774,1,2
3780,1,1
3800,1,1
3806,1,1
3831,1,1
3864,NA,NA
3879,1,1
3881,NA,NA
3885,1,1
3893,1,1
3896,1,1
3901,1,1
3913,1,2
3920,1,1
3925,1,1
3933,1,1
3938,1,1
3948,1,1
3956,1,1
3966,1,1
3971,1,1
3987,1,1
3996,1,1
4000,1,1
4001,1,1
4010,1,1
4016,1,1
4025,1,1
4027,1,1
4043,1,1
4051,1,12
4058,1,1
4062,1,1
4063,NA,NA
4066,1,1
4075,NA,NA
4078,1,1
4080,1,1
4086,1,1
4090,1,1
4102,1,1
4109,1,1
4122,1,1
4135,1,1
4144,1,1
4145,NA,NA
4151,1,1
4155,1,1
4166,1,1
4180,1,1
4182,1,1
4185,1,1
4187,1,1
4192,1,1
4198,1,1
4210,1,1
4215,1,1
4218,1,1
4228,1,1
4231,1,1
4240,1,1
4243,1,1
4276,1,1
4281,1,1
4305,1,1
4313,1,1
4326,1,1
4328,1,1
4330,1,1
4335,1,1
4341,1,1
4347,1,2
4353,1,1
4358,NA,NA
4375,1,1
4386,1,1
4395,1,1
4398,1,1
4418,1,1
4424,1,1
4430,1,1
4432,1,1
4441,1,1
4442,1,1
4453,NA,NA
4465,1,1
4467,1,1
4468,1,1
4471,1,1
4472,NA,NA
4480,1,1
4486,1,1
4496,1,1
4500,1,1
4511,7,14
4513,1,1
4516,1,1
4517,1,2
4524,1,1
4531,1,1
4534,1,1
4571,1,2
4575,1,1
4588,1,1
4591,1,1
4604,1,1
4618,1,1
4624,1,2
4635,1,2
4647,1,1
4660,NA,NA
4668,1,1
4670,1,2
4671,1,1
4690,1,1
4699,1,1
4712,1,1
4713,1,1
4716,1,1
4721,1,1
4733,1,1
4753,1,1
4759,1,2
4796,1,1
4800,1,1
4816,1,1
4824,1,1
4833,1,1
4849,1,1
4854,7,14
4858,NA,NA
4859,1,1
4876,NA,NA
4883,1,1
4893,1,1
4907,1,1
4910,1,2
4924,1,1
4929,1,1
4931,1,1
4932,1,1
4936,1,2
4943,1,1
4947,1,1
4949,1,1
4960,1,1
4965,1,1
4979,4,1
4993,1,1
5001,1,1
5004,1,1
5005,NA,NA
5011,1,1
5014,1,1
5018,NA,NA
5022,1,1
5048,1,1
5049,1,1
5083,1,1
5088,1,1
5089,1,1
5093,1,1
5110,1,1
5130,1,1
5133,1,1
5143,1,1
5146,1,1
5151,1,1
5152,1,2
5157,1,1
5159,1,1
5160,NA,NA
